iter	Logloss
0	0.6925270449
1	0.6919544454
2	0.6917427853
3	0.6914414459
4	0.6910114353
5	0.6907453892
6	0.6905937621
7	0.6905620803
8	0.6904225588
9	0.6902596557
10	0.6899096486
11	0.6895517174
12	0.6894328328
13	0.6893774371
14	0.6893560052
15	0.6892826632
16	0.6892245029
17	0.6889697768
18	0.688704837
19	0.6883133059
20	0.6882197643
21	0.6875778377
22	0.6874688085
23	0.6871169124
24	0.6866885889
25	0.6861226431
26	0.6857663484
27	0.6852398608
28	0.6851030488
29	0.6845467238
30	0.6844926565
31	0.6839268585
32	0.6834205607
33	0.6828939643
34	0.6823871786
35	0.6821960848
36	0.6821313194
37	0.681595277
38	0.6810027801
39	0.6807741176
40	0.680608806
41	0.680069426
42	0.6795325944
43	0.6793411501
44	0.6792358031
45	0.6789783452
46	0.6788739365
47	0.6786465227
48	0.6786186389
49	0.6780881542
50	0.6779959644
51	0.6773739009
52	0.677070299
53	0.6767013905
54	0.6762446742
55	0.6754946447
56	0.6751109012
57	0.6746773799
58	0.674582795
59	0.6745759971
60	0.6744717552
61	0.674467979
62	0.674430627
63	0.674151774
64	0.67389151
65	0.6737140691
66	0.6730459973
67	0.6726774373
68	0.672021383
69	0.6716059304
70	0.6715990488
71	0.6712548596
72	0.6707284601
73	0.6707051966
74	0.670407926
75	0.6696430364
76	0.6692128613
77	0.669212861
78	0.6686437968
79	0.6684668785
80	0.6684668784
81	0.668333024
82	0.6679526498
83	0.6672953026
84	0.6665291035
85	0.6662967983
86	0.6662967981
87	0.665836732
88	0.6654353687
89	0.6652769363
90	0.6648800759
91	0.6646890656
92	0.6646445712
93	0.6646273272
94	0.6641494072
95	0.6641485076
96	0.6640790932
97	0.6640790932
98	0.6637800973
99	0.6633517652
100	0.662806635
101	0.6627095727
102	0.662686225
103	0.6623702159
104	0.6619798379
105	0.6618277898
106	0.6614930356
107	0.6614342661
108	0.6612451334
109	0.6610331752
110	0.6608488603
111	0.6608456546
112	0.6606860674
113	0.6602519831
114	0.6597649804
115	0.6596962226
116	0.6596817428
117	0.6590417469
118	0.6590417464
119	0.6587098985
120	0.6587011678
121	0.6587011672
122	0.6581901161
123	0.658087477
124	0.6579681498
125	0.6579463748
126	0.6577634784
127	0.6574679172
128	0.6573185031
129	0.6573001017
130	0.6571401278
131	0.6567190979
132	0.6559683717
133	0.6557174255
134	0.6554611769
135	0.6551343108
136	0.654773898
137	0.6545348408
138	0.6537301415
139	0.6531494152
140	0.6527154683
141	0.6526786142
142	0.6522826277
143	0.6516965663
144	0.6512654902
145	0.650977546
146	0.6509754534
147	0.6504936773
148	0.6503770533
149	0.6502725219
150	0.6497688381
151	0.6492415963
152	0.6491786047
153	0.6490923479
154	0.6489041899
155	0.648415906
156	0.6481422388
157	0.6475745183
158	0.6475001464
159	0.6470222321
160	0.6467314672
161	0.6459515385
162	0.6455905243
163	0.6450203263
164	0.6444190302
165	0.6438401577
166	0.6434460039
167	0.643057087
168	0.6423220259
169	0.641708523
170	0.6414474562
171	0.6409903127
172	0.6404680653
173	0.6399453891
174	0.6392261369
175	0.6391372037
176	0.638599989
177	0.6380689015
178	0.6379408762
179	0.637605232
180	0.6367823674
181	0.6366749411
182	0.6364438511
183	0.6359290958
184	0.6356070497
185	0.6348594624
186	0.6340929487
187	0.6338120972
188	0.6334254749
189	0.6327647611
190	0.6324245853
191	0.6319822113
192	0.6316315757
193	0.6313897814
194	0.6307268417
195	0.6302420697
196	0.6296474025
197	0.6289067713
198	0.6285060187
199	0.627868598
200	0.6271883431
201	0.6267300579
202	0.6264418116
203	0.6258147369
204	0.625606509
205	0.6250800479
